Index: 1, Position: [0.00387271, 0.732083], Orientation: [0.0, 0.0, 0.0]
Index: 2, Position: [1.13071, 0.763927], Orientation: [0.0, 0.0, 0.0]
Index: 3, Position: [2.01931, 0.877599], Orientation: [0.0, 0.0, 0.0]
Index: 4, Position: [3.06674, 0.988751], Orientation: [0.0, 0.0, 0.0]
Index: 5, Position: [3.95161, 1.08726], Orientation: [0.0, 0.0, 0.0]
Index: 6, Position: [4.99156, 1.1904], Orientation: [0.0, 0.0, 0.0]
Index: 7, Position: [5.888, 1.42052], Orientation: [0.0, 0.0, 0.0]
Index: 8, Position: [6.93875, 1.42112], Orientation: [0.0, 0.0, 0.0]
Index: 9, Position: [7.86325, 1.38596], Orientation: [0.0, 0.0, 0.0]
Index: 10, Position: [8.89563, 1.4056], Orientation: [0.0, 0.0, 0.0]
Index: 11, Position: [9.81578, 1.44342], Orientation: [0.0, 0.0, 0.0]
Index: 12, Position: [10.752, 1.6028], Orientation: [0.0, 0.0, 0.0]
Index: 13, Position: [11.7993, 1.87677], Orientation: [0.0, 0.0, 0.0]
Index: 14, Position: [12.7857, 1.62355], Orientation: [0.0, 0.0, 0.0]
Index: 15, Position: [13.7599, 1.73466], Orientation: [0.0, 0.0, 0.0]
Index: 16, Position: [14.6922, 1.94639], Orientation: [0.0, 0.0, 0.0]
Index: 17, Position: [15.5177, 2.05402], Orientation: [0.0, 0.0, 0.0]
Index: 18, Position: [16.5979, 1.89791], Orientation: [0.0, 0.0, 0.0]
Index: 19, Position: [17.6718, 2.03325], Orientation: [0.0, 0.0, 0.0]
Index: 20, Position: [18.68, 2.08541], Orientation: [0.0, 0.0, 0.0]
Index: 21, Position: [19.6238, 2.18251], Orientation: [0.0, 0.0, 0.0]
Index: 22, Position: [20.6016, 2.20313], Orientation: [0.0, 0.0, 0.0]
